date,RSI
2022-06-06,55.13857933052766
2022-06-03,54.0001252224971
2022-06-02,60.70297222084601
2022-06-01,56.87573141295858
2022-05-31,57.02745563807448
2022-05-27,58.00659738963463
2022-05-26,49.168931409548726
2022-05-25,45.05629482272466
2022-05-24,44.85797946909573
2022-05-23,49.01197874519165
2022-05-20,42.14832823371305
2022-05-19,41.873759094186276
2022-05-18,47.22665623196912
2022-05-17,57.4631131418711
2022-05-16,52.6318774162735
2022-05-13,54.38440566404419
2022-05-12,48.75462932649959
2022-05-11,53.26610141586328
2022-05-10,60.81821963241623
2022-05-09,57.74449063534836
2022-05-06,62.13539886049144
2022-05-05,61.46339476649744
2022-05-04,68.18433551233332
2022-05-03,60.19131150174732
2022-05-02,58.47557139896871
2022-04-29,58.11175316350451
2022-04-28,62.913268897212895
